8192 NumPy,8192 CuPy,8192 OpenCL (CPU),8192 OpenCL (GPU),16384 NumPy,16384 CuPy,16384 OpenCL (CPU),16384 OpenCL (GPU),32768 NumPy,32768 CuPy,32768 OpenCL (CPU),32768 OpenCL (GPU),65536 NumPy,65536 CuPy,65536 OpenCL (CPU),65536 OpenCL (GPU),131072 OpenCL (GPU),131072 NumPy,131072 CuPy,131072 OpenCL (CPU),262144 NumPy,262144 CuPy,262144 OpenCL (CPU),262144 OpenCL (GPU)
1.824987888,3.15598011,8.258466244,2.801406145,5.24596858,5.354968548,20.04469275,7.187803507,17.03189707,10.50793672,52.34368634,25.27184844,77.89550853,21.05412841,144.2561493,100.0347962,667.5068252,880.5187535,41.27176046,657.5252657,3387.655494,88.68404579,2253.748905,1795.264895
1.82498908,3.15598011,8.262669086,2.805535316,5.247967482,5.355968237,20.14005232,7.195853472,17.04390121,10.51993752,52.36368537,25.28184581,77.93852448,21.09786725,144.6071475,100.2896385,667.7419319,882.984899,41.28576088,660.6319606,3388.843859,88.69945908,2254.481719,1795.473913
1.825988054,3.156980038,8.263785362,2.80676651,5.248969078,5.357968569,20.2995944,7.209497929,17.05090117,10.53693652,52.4466958,25.34584737,77.98369265,21.10186601,144.6771464,100.4114404,667.7842114,883.8460259,41.34806466,662.3627577,3389.649787,88.71861649,2254.551293,1795.805008
1.825988293,3.156980515,8.270269156,2.807308674,5.250968695,5.35896945,20.32470155,7.219582558,17.05689764,10.54093695,52.47468519,25.37684846,78.28852272,21.11986685,145.0201445,100.4308102,668.1023426,884.4202585,41.36976027,662.4380155,3390.351809,88.77041626,2254.970182,1796.645028
1.825989008,3.159938335,8.287475348,2.80978179,5.25096941,5.36196804,20.34647012,7.226342916,17.05889964,10.54293656,52.58069539,25.38484669,78.5365212,21.12196064,145.1413202,100.5034461,668.1124928,885.5224047,41.41510773,662.5035713,3391.216577,88.80858779,2255.000266,1797.010317
1.825989246,3.160975218,8.302186489,2.81098485,5.25496912,5.365968466,20.3670876,7.233637094,17.06207085,10.54993892,52.61968374,25.44684577,78.57450485,21.14093709,145.142086,100.574465,668.4962416,885.8000586,41.42010856,662.6280377,3392.746203,88.84474802,2255.577044,1797.211316
1.82698822,3.162980556,8.305948257,2.812097073,5.255955219,5.365968466,20.38971257,7.237366199,17.06389761,10.56493592,52.62768364,25.58784628,78.70950437,21.14387107,145.2510855,100.5823534,668.5792828,886.7337859,41.42175961,663.4610302,3396.035431,88.86286473,2256.47907,1797.270199
1.827987432,3.164979696,8.317314625,2.814873219,5.255968571,5.366968393,20.41325998,7.242458105,17.06990099,10.57693672,52.63165832,25.66984582,79.28850055,21.15186739,145.2790856,100.6265655,668.8271792,888.5813007,41.46575952,663.7878993,3397.776649,88.88967657,2256.879398,1797.638936
1.828988552,3.165979862,8.329257965,2.816943884,5.255968809,5.36896801,20.42994881,7.257562637,17.06990099,10.57893777,52.67769456,25.73584533,83.10950994,21.15986824,145.8085017,100.6963141,669.0622363,889.3892086,41.46710777,663.8780401,3398.988537,88.89869571,2256.896527,1798.23621
1.829987049,3.166979551,8.344753742,2.817540169,5.256968498,5.369967937,20.43175745,7.264347553,17.07290077,10.57993627,52.68768382,25.75384474,83.37047362,21.17186642,145.8830979,100.731704,669.0869799,889.5448523,41.47375941,663.9689548,3399.680598,88.9889369,2257.444422,1798.291282
